review_id,PARL_ROW_ID,MYNETA_ROW_ID,YEAR,PC,parliament_name,parliament_party,myneta_name,myneta_party,match_score,name_score,party_score,review_priority,decision,evidence_reference,reviewer,reviewed_at_utc,notes
1,7,851,2004,ANDAMAN & NICOBAR ISLANDS,DR SHANMUGAM,LJP,DR SHANMUGAM,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
2,23,1599,2004,ADILABAD,MADHUSUDHAN REDDY TAKKALA,TRS,MADHUSUDHAN REDDY THAKKALA,TRS,0.9823529411764705,0.9803921568627451,1.0,P1,,,,,
3,154,1699,2004,AKBARPUR,MAYA WATI,BSP,MAYAWATI,BSP,0.9470588235294117,0.9411764705882353,1.0,P4,,,,,
4,400,1149,2004,AMBALA,HEM RAJ,LJP,HEM RAJ,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
5,651,2619,2004,ANANTNAG,SANJAY SARAF,LJP,SANJAY SARAF,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
6,759,2372,2004,ARARIA,RAM SEWAK HAZARI,LJP,RAM SEWAK HAZARI,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
7,1027,1156,2004,BAGAHA,HIRALAL RAM,LJP,HIRALAL RAM,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
8,1155,2959,2004,BALIA,SURAJ SINGH,LJP,SURAJ SINGH,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
9,1660,37,2004,BARPETA,ABDUS SALAM,LJP,ABDUS  SALAM,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
10,2118,1563,2004,BHIND,LT. COLONEL (RETD.) SHIVNATH SINGH,IND,LT. COLONEL ( RETIRED) SHIVNATH SINGH,IND,0.9526315789473684,0.9473684210526315,1.0,P3,,,,,
11,2170,1382,2004,BHIWANI,KAPTAN,LJP,KAPTAN,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
12,4206,2362,2004,FARIDABAD,RAM NIWAS RATHI,LJP,RAM NIWAS RATHI,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
13,4237,1945,2004,FARIDKOT,NIRMAL SINGH,LJP,NIRMAL SINGH,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
14,4800,673,2004,GOPALGANJ,CHHATHU SAH,BSP,CHHATHU SHAH,BSP,0.9608695652173913,0.9565217391304348,1.0,P3,,,,,
15,5002,2384,2004,HAJIPUR,RAM VILAS PASWAN,LJP,RAM VILAS PASWAN,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
16,5848,2623,2004,JAMMU,SANJEEV KUMAR MANMOTRA,LJP,SANJEEV KUMAR MANMOTRA,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
17,5994,2805,2004,JANJGIR,SHOBHA LAL PRAJAPTI,LJP,SHOBHA LAL PRAJAPTI,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
18,6013,780,2004,JAUNPUR,DHANANJAY SINGH,LJP,DHANANJAY SINGH,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
19,6131,2477,2004,JHUNJHUNU,RANVEER SINGH GUDHA,LJP,RANVEER SINGH GUDHA,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
20,6389,212,2004,KALIABOR,ANIL CHOUDHURY,LJP,ANIL CHOUDHURY,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
21,6730,2988,2004,KARNAL,SURINDER SINGH HOODA,LJP,SURINDER SINGH HOODA,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
22,7549,2957,2004,LAKHIMPUR,SUNMONI DAS,LJP,SUNMONI DAS,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
23,9247,891,2004,NALANDA,DR. KUMAR PUSHPANJAY,LJP,DR. KUMAR PUSHPANJAY,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
24,9889,945,2004,PANAJI,D'SOUZA WILFRED,NCP,DSOUZA WILFRED,NCP,0.9689655172413794,0.9655172413793104,1.0,P3,,,,,
25,10032,3185,2004,PATNA,VIDYA NAND VAKAL,CPI(ML)(L),VIDYA NAND VIKAL,CPI(ML)(L),0.94375,0.9375,1.0,P4,,,,,
26,10470,2305,2004,PURNEA,RAJESH RANJAN ALIAS PAPPU YADAV,LJP,RAJESH RANJAN ALIAS PAPPU YADAV,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
27,11126,2336,2004,ROSERA,RAM CHANDRA PASWAN,LJP,RAM CHANDRA PASWAN,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
28,11202,2471,2004,SAHARSA,RANJEET RANJAN,LJP,RANJEET RANJAN,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
29,11485,1718,2004,SASARAM,MIRA KUMAR,INC,MEIRA KUMAR,INC,0.9571428571428571,0.9523809523809523,1.0,P3,,,,,
30,11698,3079,2004,SHAJAPUR,THAWARCHAND GEHLOT,BJP,THAWAR  CHAND GEHLOT,BJP,0.9756756756756757,0.972972972972973,1.0,P2,,,,,
31,11911,1550,2004,SINGHBHUM,LAXMAN GILUA,BJP,LAXMAN GILUWA,BJP,0.964,0.96,1.0,P3,,,,,
32,12099,2675,2004,SONEPAT,SATYA PAL,LJP,SATYA PAL,LJNSP,0.9750000000000001,1.0,0.75,P2,,,,,
33,16,9941,2009,ANDAMAN & NICOBAR ISLANDS,SMTI. R. S. UMA BHARATTHY,NCP,Smti. R. S. Uma Bharathy,NCP,0.9790697674418605,0.9767441860465116,1.0,P2,,,,,
34,32,4199,2009,ADILABAD,BANKA SAHADEVU,IND,Banka Sahadev,IND,0.9666666666666666,0.9629629629629629,1.0,P3,,,,,
35,67,4557,2009,AGRA,DR. CHANDRAPAL,IND,CHANDRA PAL,IND,0.9571428571428571,0.9523809523809523,1.0,P3,,,,,
36,126,8580,2009,AHMEDNAGAR,RAJEEV APPASAHEB RAJALE,IND,RAJIV APPASAHEB RAJALE,IND,0.9400000000000001,0.9333333333333333,1.0,P4,,,,,
37,149,9675,2009,AJMER,SHANTILAL DHABRIA,IND,SHANTILAL DHABARIA,IND,0.9742857142857143,0.9714285714285714,1.0,P2,,,,,
38,200,5025,2009,AKOLA,DIPAK SHRIRAM TIRAKE,RSPS,DIPAK SHRIRAM TIRAKE,RSP,0.9857142857142858,1.0,0.8571428571428571,P1,,,,,
39,211,9970,2009,ALAPPUZHA,SONY J. KALYANKUMAR,IND,Sony J Kalyanakumar,IND,0.9756756756756757,0.972972972972973,1.0,P2,,,,,
40,361,8935,2009,ALWAR,RAM LAL MEENA,IND,Ramlal meena,IND,0.964,0.96,1.0,P3,,,,,
41,487,10507,2009,AMRAVATI,UGALE SUNIL NAMDEV,PRBP,UGLE SUNIL NAMDEV,PRBP,0.9742857142857143,0.9714285714285714,1.0,P2,,,,,
42,500,7766,2009,AMRELI,NILABEN VIRJIBHAI THUMMAR,INC,NILABEN VIRJIBHAI THUMAR,INC,0.9816326530612245,0.9795918367346939,1.0,P1,,,,,
43,506,10593,2009,AMRELI,VALJIBHAI LALUBHAI SHIROYA,IND,VALJIBHAI LALLUBHAI SIROYA,IND,0.9653846153846154,0.9615384615384616,1.0,P3,,,,,
44,509,8902,2009,AMRELI,RAMESHBHAI JASHABHAI PARMAR,IND,RAMESHBHAI JASABHAI PARMAR,IND,0.9830188679245283,0.9811320754716981,1.0,P1,,,,,
45,527,7845,2009,AMRITSAR,OM PARKASH SONI,INC,OM PRAKASH SONI,INC,0.9400000000000001,0.9333333333333333,1.0,P4,,,,,
46,600,6800,2009,ANAND,LEELABEN RAVJIBHAI PARMAR,IND,LILABEN RAVJIBHAI PARMAR,IND,0.9448979591836735,0.9387755102040817,1.0,P4,,,,,
47,636,5848,2009,ANANTAPUR,J C RAMANJULA REDDY,IND,J C RAMANUJULA REDDY,IND,0.9769230769230769,0.9743589743589743,1.0,P2,,,,,
48,750,3773,2009,ARANI,HARIRAJ T.V,SP,ARIRAJ T.V,SP,0.9571428571428571,0.9523809523809523,1.0,P3,,,,,
49,754,5205,2009,ARANI,DURAIRAJ M,IND,DURAI RAJ M,IND,0.9571428571428571,0.9523809523809523,1.0,P3,,,,,
50,808,3835,2009,ARRAH,ARUN SINGH,CPI(ML)(L),ArunSingh,CPI(ML)(L),0.9526315789473684,0.9473684210526315,1.0,P3,,,,,
51,813,4312,2009,ARRAH,BHARAT BHUSAN PANDEY,ABJS,Bharat Bhushan Pandey,ABJS,0.9780487804878049,0.975609756097561,1.0,P2,,,,,
52,814,8791,2009,ARRAH,RAMADHAR SINGH,SHS,RamadharSingh,SHS,0.9666666666666666,0.9629629629629629,1.0,P3,,,,,
53,862,4207,2009,ASANSOL,BANSA GOPAL CHOWDHURY,CPM,BANSAGOPAL CHOWDHURY,CPM,0.9780487804878049,0.975609756097561,1.0,P2,,,,,
54,864,10263,2009,ASANSOL,SURYYA RAY,BJP,SURYA RAY,BJP,0.9526315789473684,0.9473684210526315,1.0,P3,,,,,
55,879,6249,2009,ASKA,KALICHARAN NAYAK,IND,Kali Charan Nayak,IND,0.9727272727272728,0.9696969696969697,1.0,P2,,,,,
56,881,4802,2009,ASKA,DEBASIS MISRA,IND,Debasis Mishra,IND,0.9666666666666666,0.9629629629629629,1.0,P3,,,,,
57,893,4133,2009,ATTINGAL,BALACHNDRAN C P,IND,Balachandran C P,IND,0.9709677419354839,0.967741935483871,1.0,P2,,,,,
58,896,5855,2009,ATTINGAL,J VIJAYAKUMAR,IND,J Vijaya Kumar,IND,0.9666666666666666,0.9629629629629629,1.0,P3,,,,,
59,924,3767,2009,AURANGABAD,ARCHNA CHANDRA,BSP,Archana Chandra,BSP,0.9689655172413794,0.9655172413793104,1.0,P3,,,,,
