YEAR,PC,parliament_name,parliament_party,myneta_name,myneta_party,match_score,name_score,party_score
2004,ANDAMAN & NICOBAR ISLANDS,DR SHANMUGAM,LJP,DR SHANMUGAM,LJNSP,0.975,1.0,0.75
2009,ANDAMAN & NICOBAR ISLANDS,SMTI. R. S. UMA BHARATTHY,NCP,Smti. R. S. Uma Bharathy,NCP,0.9791,0.9767,1.0
2004,ADILABAD,MADHUSUDHAN REDDY TAKKALA,TRS,MADHUSUDHAN REDDY THAKKALA,TRS,0.9824,0.9804,1.0
2009,ADILABAD,BANKA SAHADEVU,IND,Banka Sahadev,IND,0.9667,0.963,1.0
2009,AGRA,DR. CHANDRAPAL,IND,CHANDRA PAL,IND,0.9571,0.9524,1.0
2009,AHMEDNAGAR,RAJEEV APPASAHEB RAJALE,IND,RAJIV APPASAHEB RAJALE,IND,0.94,0.9333,1.0
2009,AJMER,SHANTILAL DHABRIA,IND,SHANTILAL DHABARIA,IND,0.9743,0.9714,1.0
2004,AKBARPUR,MAYA WATI,BSP,MAYAWATI,BSP,0.9471,0.9412,1.0
2009,AKOLA,DIPAK SHRIRAM TIRAKE,RSPS,DIPAK SHRIRAM TIRAKE,RSP,0.9857,1.0,0.8571
2009,ALAPPUZHA,SONY J. KALYANKUMAR,IND,Sony J Kalyanakumar,IND,0.9757,0.973,1.0
2009,ALWAR,RAM LAL MEENA,IND,Ramlal meena,IND,0.964,0.96,1.0
2004,AMBALA,HEM RAJ,LJP,HEM RAJ,LJNSP,0.975,1.0,0.75
2009,AMRAVATI,UGALE SUNIL NAMDEV,PRBP,UGLE SUNIL NAMDEV,PRBP,0.9743,0.9714,1.0
2009,AMRELI,NILABEN VIRJIBHAI THUMMAR,INC,NILABEN VIRJIBHAI THUMAR,INC,0.9816,0.9796,1.0
2009,AMRELI,VALJIBHAI LALUBHAI SHIROYA,IND,VALJIBHAI LALLUBHAI SIROYA,IND,0.9654,0.9615,1.0
2009,AMRELI,RAMESHBHAI JASHABHAI PARMAR,IND,RAMESHBHAI JASABHAI PARMAR,IND,0.983,0.9811,1.0
2009,AMRITSAR,OM PARKASH SONI,INC,OM PRAKASH SONI,INC,0.94,0.9333,1.0
2009,ANAND,LEELABEN RAVJIBHAI PARMAR,IND,LILABEN RAVJIBHAI PARMAR,IND,0.9449,0.9388,1.0
2009,ANANTAPUR,J C RAMANJULA REDDY,IND,J C RAMANUJULA REDDY,IND,0.9769,0.9744,1.0
2004,ANANTNAG,SANJAY SARAF,LJP,SANJAY SARAF,LJNSP,0.975,1.0,0.75
2009,ARANI,HARIRAJ T.V,SP,ARIRAJ T.V,SP,0.9571,0.9524,1.0
2009,ARANI,DURAIRAJ M,IND,DURAI RAJ M,IND,0.9571,0.9524,1.0
2004,ARARIA,RAM SEWAK HAZARI,LJP,RAM SEWAK HAZARI,LJNSP,0.975,1.0,0.75
2009,ARRAH,ARUN SINGH,CPI(ML)(L),ArunSingh,CPI(ML)(L),0.9526,0.9474,1.0
2009,ARRAH,BHARAT BHUSAN PANDEY,ABJS,Bharat Bhushan Pandey,ABJS,0.978,0.9756,1.0
2009,ARRAH,RAMADHAR SINGH,SHS,RamadharSingh,SHS,0.9667,0.963,1.0
2009,ASANSOL,BANSA GOPAL CHOWDHURY,CPM,BANSAGOPAL CHOWDHURY,CPM,0.978,0.9756,1.0
2009,ASANSOL,SURYYA RAY,BJP,SURYA RAY,BJP,0.9526,0.9474,1.0
2009,ASKA,KALICHARAN NAYAK,IND,Kali Charan Nayak,IND,0.9727,0.9697,1.0
2009,ASKA,DEBASIS MISRA,IND,Debasis Mishra,IND,0.9667,0.963,1.0
2009,ATTINGAL,BALACHNDRAN C P,IND,Balachandran C P,IND,0.971,0.9677,1.0
2009,ATTINGAL,J VIJAYAKUMAR,IND,J Vijaya Kumar,IND,0.9667,0.963,1.0
2009,AURANGABAD,ARCHNA CHANDRA,BSP,Archana Chandra,BSP,0.969,0.9655,1.0
2009,AURANGABAD,RAJENDRA YADAV,IND,RajendraYadav,IND,0.9667,0.963,1.0
2009,AZAMGARH,DR. JAVED AKHTAR,IND,DR. JAVED AKHTHAR,IND,0.964,0.96,1.0
2009,AZAMGARH,KHAIRUL BASHAR,IND,KHAIRUL BASAR,IND,0.9667,0.963,1.0
2004,BAGAHA,HIRALAL RAM,LJP,HIRALAL RAM,LJNSP,0.975,1.0,0.75
2009,BAGALKOT,BANDIWADDAR CHANDRASHEKHAR HANAMANT,IND,BANDIWADDAR CHANDRASHEKAR HANAMANT,IND,0.987,0.9855,1.0
2009,BAGALKOT,CHINCHOLI SANTOSHAKUMAR SAHEBAGOUDA,IND,CHINCHOLLI SANTOSHKUMAR SAHEBGOUDA,IND,0.9609,0.9565,1.0
2009,BALASORE,SRIKANT KUMAR JENA,INC,Srikanta Kumar Jena,INC,0.9757,0.973,1.0
2009,BALASORE,LAXIMIKANTA BEHERA,IND,Laxmikanta Behera,IND,0.9743,0.9714,1.0
2009,BALASORE,SHRADHANJALI PRADHAN,BSP,Sradhanjali Pradhan,BSP,0.9769,0.9744,1.0
2004,BALIA,SURAJ SINGH,LJP,SURAJ SINGH,LJNSP,0.975,1.0,0.75
2009,BALLIA,RAMSAKAL,SBSP,RAM SAKAL,SBSP,0.9471,0.9412,1.0
2009,BANGALORE CENTRAL,VIJAY RAJA SINGH,BSP,Vijay Raj Singh,BSP,0.971,0.9677,1.0
2009,BANGALORE CENTRAL,M.A. ASWATHANARAYANA SETTY,IND,M.A.Ashwatha Narayana Setty,IND,0.9654,0.9615,1.0
2009,BANGALORE CENTRAL,B.K NARAYANA SWAMY,IND,B.K.Narayanaswamy,IND,0.9743,0.9714,1.0
2009,BANGALORE NORTH,KANYA KUMAR,IND,Kanyakumar,IND,0.9571,0.9524,1.0
2009,BANGALORE NORTH,ANCHANA KHANNA,IND,Anchan Khanna,IND,0.9667,0.963,1.0
2009,BANGALORE RURAL,H.D.KUMARASWAMY,JD(S),H D KUMARA SWAMY,JD(S),0.971,0.9677,1.0
2009,BANGALORE RURAL,C. P. YOGEESHWARA,BJP,C P Yogeeshwra,BJP,0.969,0.9655,1.0
2009,BANGALORE RURAL,Y.CHINNAPPA,IND,Y.Chinnapa,IND,0.9571,0.9524,1.0
2009,BANGALORE SOUTH,MURALIDHARA.D.J.,IND,MURALI DHARA.D.J,IND,0.971,0.9677,1.0
2009,BANGALORE SOUTH,SANTOSH MIN.B,IND,Santhosh Min.B,IND,0.9667,0.963,1.0
2009,BANGALORE SOUTH,SUGANDHARAJE URS,IND,SUGANDHA RAJE URS,IND,0.9727,0.9697,1.0
2009,BANKA,GIRIDHARI YADAV,INC,GRIDHARI YADAV,INC,0.969,0.9655,1.0
2009,BANKURA,ASWINI DULEY,JKP(N),Ashwini Duley,JKP(N),0.964,0.96,1.0
2009,BARAMULLA,GH NABI PARRAY,RPI,GH NABI PARRAY,RPI(A),0.975,1.0,0.75
2009,BARDOLI,ARJUNBHAI BHALJIBHAI CHAUDHARI,IND,ARJUNBHAI BHALJIBHAI CHAUDHARY,IND,0.97,0.9667,1.0
2009,BARMER,POPATRAM,IND,Popat Ram,IND,0.9471,0.9412,1.0
2004,BARPETA,ABDUS SALAM,LJP,ABDUS  SALAM,LJNSP,0.975,1.0,0.75
2009,BASTAR,SHANKAR SODI,INC,Shankar Sodhi,INC,0.964,0.96,1.0
2009,BASTAR,AYTU RAM MANDAVI,BSP,Ayaturam Mandavi,BSP,0.9437,0.9375,1.0
2009,BEED,MASKE MACHINDRA BABURAO,BSP,MASKE MACHHINDRA BABURAO,BSP,0.9809,0.9787,1.0
2009,BEED,KHALGE KACHARU SANTARAMJI,BBM,KHALGE KACHRU SANTRAMJI,BBM,0.9625,0.9583,1.0
2009,BEED,MAHAMMAD AKRAM MAHAMMAD SALIMUDDIN BAGWAN,IND,MAHAMMAD AKARAM MAHAMMAD SALIMUDDIN BAGWAN,IND,0.9892,0.988,1.0
2009,BEED,SAYED MINHAJ ALI WAJED ALI (PENDKHAJUR WALE),IND,SAYYED MINHAJ ALI WAJED ALI (PENDKHJUR WALE),IND,0.9786,0.9762,1.0
2009,BEED,RAMESH VISHWANATH KOKATE,IND,RAMESH VISHVANATH KOKATE,IND,0.9625,0.9583,1.0
2009,BEED,ADV.NATKAR RAMRAO SHESHERAO,IND,ADV.NATKAR RAMRAO SHESHRAO,IND,0.98,0.9778,1.0
2009,BEED,KHAN SIKANDAR KHAN HUSEN KHAN,IND,KHAN SIKANDAR KHAN HUSSAIN KHAN,IND,0.94,0.9333,1.0
2009,BEED,SAYYAD SALIM FATTU,IND,SAYYED SALIM FATTU,IND,0.95,0.9444,1.0
2009,BEED,SARDAR KHAN SULTANBABA,IND,SARDAR KHAN SULTANABABA,IND,0.98,0.9778,1.0
2009,BEGUSARAI,SHATRUGHNA PRASAD SINGH,CPI,SHATRUGHAN PRASAD SINGH,CPI,0.9609,0.9565,1.0
2009,BELGAUM,RAMCHANDRA MAREPPA TORGAL(CHALAWADI),IND,RAMACHANDRA MAREPPA TORGAL (CHALAWADI),IND,0.9873,0.9859,1.0
2009,BETUL,SUNIL KUMAR KAWDE,IND,SUNIL KUMAR KAWADE,IND,0.9743,0.9714,1.0
2009,BHADRAK,RATHA DAS,BJP,Rath Das,BJP,0.9471,0.9412,1.0
2009,BHAGALPUR,RAVISHANKAR SINGH,IND,RAVI SHANKAR SINGH,IND,0.9743,0.9714,1.0
2009,BHANDARA - GONDIYA,UNDIRWADE HEMANT JAGIVAN,PRCP,UNDIRWADE HEMANT JAGIVAN,PRBP,0.975,1.0,0.75
2009,BHANDARA - GONDIYA,JAMAIWAR SUNIL PARASRAM,RSPS,JAMAIWAR SUNIL PARASRAM,RSP,0.9857,1.0,0.8571
2009,BHARATPUR,KHEMCHAND,BJP,KHEM CHAND,BJP,0.9526,0.9474,1.0
2009,BHILWARA,RATANLAL DHOBI,IND,RATAN LAL DHOBI,IND,0.969,0.9655,1.0
2004,BHIND,LT. COLONEL (RETD.) SHIVNATH SINGH,IND,LT. COLONEL ( RETIRED) SHIVNATH SINGH,IND,0.9526,0.9474,1.0
2009,BHIWANDI,ISMAIL SHAIKH LATIF,KKJHS,ISMAILE SHAIKH LATIF,KKJHS,0.9769,0.9744,1.0
2009,BHIWANDI,MAHENDRA KERU WADHWINDE,IND,MAHENDRA KERU WADVINDE,IND,0.94,0.9333,1.0
2004,BHIWANI,KAPTAN,LJP,KAPTAN,LJNSP,0.975,1.0,0.75
2009,BHIWANI-MAHENDRAGARH,DR. PURAN MAL SHARMA,IND,DR PURANMAL SHARMA,IND,0.971,0.9677,1.0
2009,BHIWANI-MAHENDRAGARH,RAJ KUMAR,IND,RAJKUMAR,IND,0.9471,0.9412,1.0
2009,BHIWANI-MAHENDRAGARH,MANMOHAN SINGH,IND,MAN MOHAN SINGH,IND,0.969,0.9655,1.0
2009,BHONGIR,SIDDHARTHA PHOOLEY,BSP,Siddhartha Pooley,BSP,0.9743,0.9714,1.0
2009,BHUBANESWAR,SASTHI PRASAD SETHI,IND,Sasthi Prasad Sethy,IND,0.9526,0.9474,1.0
2009,BIDAR,N.DHARAM SINGH,INC,N. Dharamsingh,INC,0.9667,0.963,1.0
2009,BIDAR,SYED QUBUL ULLA HUSSIANI (SAJID),IND,SYED QUBUL ULLAHUSSIANI (SAJID),IND,0.9847,0.9831,1.0
2009,BIJAPUR,ALMELKAR VILASABABU BASALINGAPPA,JD(S),Almellkar Vilasbabu Basalingappa,JD(S),0.9719,0.9688,1.0
2009,BIKANER,KHEM CHAND NIMBHAL,IND,KHEMCHAND NIMBHAL,IND,0.9743,0.9714,1.0
2009,BILASPUR,ADVOCATE T.R.NIRALA,BSP,AdvocateT R Nirala,BSP,0.9757,0.973,1.0
2009,BILASPUR,DR.BALMUKUND SINGH MARAVI,GGP,Dr. Bal Mukund Singh Maravi,GGP,0.98,0.9778,1.0
2009,BILASPUR,ASHOK SHRIVASTAVA,IND,Ashok Shrivastav,IND,0.9727,0.9697,1.0
2009,BILASPUR,ABDUL HAMID SIDDIQUE,IND,Abdul Hamid Siddiqui,IND,0.955,0.95,1.0
2009,BIRBHUM,SHIB RATAN SHARMA,JMM,SHIBRATAN SHARMA,JMM,0.9727,0.9697,1.0
2009,BOLANGIR,SANGEETA KUMARI SINGH DEO,BJP,SANGEETA KUMARI SINGDEO,BJP,0.9625,0.9583,1.0
2009,BOLANGIR,BALHAN SAGAR,BSP,BALHANSAGAR,BSP,0.9609,0.9565,1.0
2009,BOLPUR,VIDYASAGAR METE,BSP,VIDYA SAGAR METE,BSP,0.971,0.9677,1.0
2009,BULDHANA,SHINGANE DR.RAJENDRA BHASKARRAO,NCP,SHINGNE DR.RAJENDRA BHASKARRAO,NCP,0.9836,0.9818,1.0
2009,BULDHANA,DHOKNE RAVINDRA TULSHIRAMJI,BBM,DHOKNE RAVINDRA TULSHRAMJI,BBM,0.983,0.9811,1.0
2009,BULDHANA,RAJESH NILKANTHRAO TATHE,IND,RAJESH NIKANTHRAO TATHE,IND,0.9809,0.9787,1.0
2009,BULDHANA,GAJANAN RAJARAM SIRSAT,RSPS,GAJANAN RAJARAM SIRSAT,RSP,0.9857,1.0,0.8571
2009,BULDHANA,FERAN CHANDRAHAS JAGDEO,ABHM,FERAN CHADRAHAS JAGDEO,ABHM,0.98,0.9778,1.0
2009,BUXAR,JAGADA NAND SINGH,RJD,Jagda Nand singh,RJD,0.9727,0.9697,1.0
2009,BUXAR,LAL MUNI CHOUBEY,BJP,Lalmuni choubey,BJP,0.971,0.9677,1.0
2009,BUXAR,KAMLA KANT TIWARY,INC,Kamla Kant Tiwari,INC,0.9471,0.9412,1.0
2009,BUXAR,JAI SINGH YADAV,IND,Jay singh yadav,IND,0.94,0.9333,1.0
2009,BUXAR,RAJENDRA PASWAN,IND,Rajendar Paswan,IND,0.94,0.9333,1.0
2009,BUXAR,LALLAN RUPNARAIN PATHAK,IND,Lalan Rup Narain Pathak,IND,0.9609,0.9565,1.0
2009,BUXAR,SURENDRA KUMAR BHARTI,IND,Surendar Kumar Bharti,IND,0.9571,0.9524,1.0
2009,CHAMARAJANAGAR,PURUSHOTTHAMA.R,IND,PURUSHOTHAMA R,IND,0.969,0.9655,1.0
2009,CHAMARAJANAGAR,CHOWDAHALLY JAVARAIAH,CPI(ML)(L),CHOWDAHALLI JAVARAIAH,CPI(ML)(L),0.9571,0.9524,1.0
2009,CHANDAULI,JAWAHAR LAL JAISAWAL,BJP,JAWAHAR LAL JAISWAL,BJP,0.9769,0.9744,1.0
2009,CHANDAULI,RAJNATH,BRPP,RAJNATH,BRP,0.9857,1.0,0.8571
2009,CHENNAI CENTRAL,MOHAMMED ALI ZINNA.A,IND,MOHAMED ALI ZINNA.A,IND,0.9769,0.9744,1.0
2009,CHENNAI CENTRAL,PRABHU.V,IND,PRABU.V,IND,0.94,0.9333,1.0
2009,CHENNAI CENTRAL,DHAMODARAN.T,IND,DHAMODHARAN.T,IND,0.964,0.96,1.0
2009,CHITRADURGA,M KUMBAIAH,IND,M KUMBHAIAH,IND,0.9571,0.9524,1.0
2009,CHITTORGARH,SITARAM GUJAR,IND,SITARAM  GUJHAR,IND,0.9667,0.963,1.0
2009,CHITTORGARH,SANTOSH JOSHI,IND,SANTOSH JOSI,IND,0.964,0.96,1.0
2009,CHURU,SHAILENDRA AWASTHI,SP,SHALENDRA  AWASTHI,SP,0.9743,0.9714,1.0
2009,DARBHANGA,YUGESHWAR SAHANI,BSP,YUGESHWAR SAHNI,BSP,0.971,0.9677,1.0
2009,DAUSA,RAM KISHORE MEENA,BJP,RAM KISHOR MEENA,BJP,0.9727,0.9697,1.0
2009,DAUSA,SHIVA RAM,RJVP,SHIVARAM,RJVP,0.9471,0.9412,1.0
2009,DAVANAGERE,H K KENCHAVEERAPPA HEBBALU,IND,H K KENCHVEERAPPA HEBBALU,IND,0.9824,0.9804,1.0
2009,DEORIA,JAGDISH KUMAR VERMA,LPSP,JAGDISH KUMAR VERMA,LSP,0.9857,1.0,0.8571
2009,DHAR,GAJENDRA SINGH RAJUKHEDI,INC,GAJENDRASINGH RAJUKHEDI,INC,0.9809,0.9787,1.0
2009,DHAR,MUKAM SINGH KIRADE,BJP,MUKAMSINGH KIRADE,BJP,0.9743,0.9714,1.0
2009,DHAR,JITENDRA SINGH BAGHEL,GGP,JITENDRASINGH BHAGHEL,GGP,0.9571,0.9524,1.0
2009,DHAR,KHUMAN SINGH BARIYA,IND,KHUMANSINGH BARIYA,IND,0.9757,0.973,1.0
2009,DHAR,KARAN SINGH,IND,KARANSINGH,IND,0.9571,0.9524,1.0
2009,DHAR,BAPUSINGH BAGHEL,RPI(A),BAPUSINGH BHAGHEL,RPI(A),0.9727,0.9697,1.0
2009,DHARWAD,HANUMANTSA CHANDRAKANTSA NIRANJAN,JD(U),HANMANTSA CHANDRAKANTSA NIRANJAN,JD(U),0.9862,0.9846,1.0
2009,DHENKANAL,CHANDRA SEKHAR TRIPATHI,INC,Chandra Sekhar Tripathy,INC,0.9609,0.9565,1.0
2009,DHULE,KAVAYATRI-SONKANYA SAU. THAKUR RAJANI BHAGWAN,BBM,KAVAYATRI-SONKANYA THAKUR RAJANI BAGWAN,BBM,0.9458,0.9398,1.0
2009,DIAMOND HARBOUR,HARUNAL RASID KAJI,NCP,HARUNAL RASHID KAJI,NCP,0.9757,0.973,1.0
2009,DINDORI,SHANKAR DEORAM GANGURDE,IND,SHANKAR DEORAM GANGUDE,IND,0.98,0.9778,1.0
2009,ERNAKULAM,SHERIF MOHAMMED,BSP,Sherief Mohammed,BSP,0.971,0.9677,1.0
2004,FARIDABAD,RAM NIWAS RATHI,LJP,RAM NIWAS RATHI,LJNSP,0.975,1.0,0.75
2009,FARIDABAD,SAMSUDDIN,IND,SAMSUDIN,IND,0.9471,0.9412,1.0
2009,FARIDABAD,HARSH BHATIA,IND,HARSH BHATIYA,IND,0.964,0.96,1.0
