review_id,YEAR,PC,parliament_name,parliament_party,myneta_name,myneta_party,match_score,name_score,party_score,review_priority,review_notes,suggested_action
1,2009,BEED,MAHAMMAD AKRAM MAHAMMAD SALIMUDDIN BAGWAN,IND,MAHAMMAD AKARAM MAHAMMAD SALIMUDDIN BAGWAN,IND,0.9892,0.988,1.0,P1,high-confidence fuzzy match,manual_review
2,2009,NAGPUR,BALASAHEB ALIAS PRAMOD RAMAJI SHAMBHARKAR,IND,BLASAHEB ALIAS PRAMOD RAMAJI SHAMBHARKAR,IND,0.9889,0.9877,1.0,P1,high-confidence fuzzy match,manual_review
3,2009,SANGLI,GANAPATI TUKARAM KAMBLE ALIAS G.T. KAMBLE,IND,GANPATI TUKARAM KAMBLE ALIAS G.T. KAMBLE,IND,0.9886,0.9873,1.0,P1,high-confidence fuzzy match,manual_review
4,2009,BELGAUM,RAMCHANDRA MAREPPA TORGAL(CHALAWADI),IND,RAMACHANDRA MAREPPA TORGAL (CHALAWADI),IND,0.9873,0.9859,1.0,P1,high-confidence fuzzy match,manual_review
5,2009,KAISERGANJ,DR LALTA PRASAD MISHRA ALIAS DR L P MISHRA,BJP,DR LALTA PRASAD MISHRA ALIS DR L P MISHRA,BJP,0.9873,0.9859,1.0,P1,high-confidence fuzzy match,manual_review
6,2009,BAGALKOT,BANDIWADDAR CHANDRASHEKHAR HANAMANT,IND,BANDIWADDAR CHANDRASHEKAR HANAMANT,IND,0.987,0.9855,1.0,P1,high-confidence fuzzy match,manual_review
7,2009,OSMANABAD,MUNDHE PATIL PADAMSINHA VIJAYSINHA,IND,MUNDHE PATRIL PADAMSINHA VIJAYSINHA,IND,0.987,0.9855,1.0,P1,high-confidence fuzzy match,manual_review
8,2009,DHARWAD,HANUMANTSA CHANDRAKANTSA NIRANJAN,JD(U),HANMANTSA CHANDRAKANTSA NIRANJAN,JD(U),0.9862,0.9846,1.0,P1,high-confidence fuzzy match,manual_review
9,2009,SATARA,ALANKRITA ABHIJIT AWADE-BICHUKALE,IND,ALNKRITA ABHIJIT AWADE-BICHUKALE,IND,0.9862,0.9846,1.0,P1,high-confidence fuzzy match,manual_review
10,2009,AKOLA,DIPAK SHRIRAM TIRAKE,RSPS,DIPAK SHRIRAM TIRAKE,RSP,0.9857,1.0,0.8571,P1,party alias / shorthand variant,manual_review
11,2009,BHANDARA - GONDIYA,JAMAIWAR SUNIL PARASRAM,RSPS,JAMAIWAR SUNIL PARASRAM,RSP,0.9857,1.0,0.8571,P1,party alias / shorthand variant,manual_review
12,2009,BULDHANA,GAJANAN RAJARAM SIRSAT,RSPS,GAJANAN RAJARAM SIRSAT,RSP,0.9857,1.0,0.8571,P1,party alias / shorthand variant,manual_review
13,2009,CHANDAULI,RAJNATH,BRPP,RAJNATH,BRP,0.9857,1.0,0.8571,P1,party alias / shorthand variant,manual_review
14,2009,DEORIA,JAGDISH KUMAR VERMA,LPSP,JAGDISH KUMAR VERMA,LSP,0.9857,1.0,0.8571,P1,party alias / shorthand variant,manual_review
15,2009,MACHHLISHAHR,SUKHRAJ DINKAR,RSBP,SUKHRAJ DINKAR,RSP,0.9857,1.0,0.8571,P1,party alias / shorthand variant,manual_review
16,2009,MIRZAPUR,RADHE SHYAM,BRPP,RADHE SHYAM,BRP,0.9857,1.0,0.8571,P1,party alias / shorthand variant,manual_review
17,2009,NANDED,TIWARI RAMA BHAGIRAT,RSPS,TIWARI RAMA BHAGIRAT,RSP,0.9857,1.0,0.8571,P1,party alias / shorthand variant,manual_review
18,2009,PARBHANI,MULE BABAN DATTARAO,RSPS,MULE BABAN DATTARAO,RSP,0.9857,1.0,0.8571,P1,party alias / shorthand variant,manual_review
19,2009,YAVATMAL-WASHIM,DHAGE VITTHAL MAHADEV,RSPS,DHAGE VITTHAL MAHADEV,RSP,0.9857,1.0,0.8571,P1,party alias / shorthand variant,manual_review
20,2009,GONDA,KIRTI VARDHAN SINGH (RAJA BHAIYA),BSP,KIRTI VARDHAN SINGH RAJA BAIYA,BSP,0.9852,0.9836,1.0,P1,high-confidence fuzzy match,manual_review
21,2009,LATUR,NILANGEKAR AVINASH MADHUKARRAO,IND,NILANGAEKAR AVINASH MADHUKARRAO,IND,0.9852,0.9836,1.0,P1,high-confidence fuzzy match,manual_review
22,2009,NANDED,NARAYAN SURYAVANSHI DOANGAONKAR,IND,NARAYAN SURYAVANSHI DOANGONKAR,IND,0.9852,0.9836,1.0,P1,high-confidence fuzzy match,manual_review
23,2009,RAJKOT,NAYANBHAI HASHMUKHBHAI UPADHYAY,IND,NAYANBHAI HASMUKHBHAI UPADHYAY,IND,0.9852,0.9836,1.0,P1,high-confidence fuzzy match,manual_review
24,2009,BIDAR,SYED QUBUL ULLA HUSSIANI (SAJID),IND,SYED QUBUL ULLAHUSSIANI (SAJID),IND,0.9847,0.9831,1.0,P1,high-confidence fuzzy match,manual_review
25,2009,KEONJHAR,YASHBANT NARAYAN SINGH LAGURI,BJD,Yashbanta Narayan Singh Laguri,BJD,0.9847,0.9831,1.0,P1,high-confidence fuzzy match,manual_review
26,2009,KOLHAPUR,CHHATRAPATI SAMBHAJIRAJE SHAHU,NCP,CHHATRPATI SAMBHAJIRAJE SHAHU,NCP,0.9847,0.9831,1.0,P1,high-confidence fuzzy match,manual_review
27,2009,SHIRDI,MEDHE PRAFULLAKUMAR MURALIDHAR,IND,MEDHE PRAFULLAKUMAR MURLIDHAR,IND,0.9847,0.9831,1.0,P1,high-confidence fuzzy match,manual_review
28,2009,KHARGONE,BHAI KIRANSINGH BADOLE (KIRESH),CPI,BHAI KIRNSINGH BADOLE (KIRESH),CPI,0.9842,0.9825,1.0,P1,high-confidence fuzzy match,manual_review
29,2009,LATUR,ADV. BABASAHEB SADASHIVRAO GAIKWAD,BSP,ADV. BABASAHEB SADSHIVRAO GAIKWAD,BSP,0.9842,0.9825,1.0,P1,high-confidence fuzzy match,manual_review
30,2009,RAJKOT,KESHUBHAI DHANJIBHAI VEKARIYA,IND,KESHUBHAI DHANJIBHAI VEKARIA,IND,0.9842,0.9825,1.0,P1,high-confidence fuzzy match,manual_review
31,2009,RAJKOT,PRAVINBHAI MEGHJIBHAI DENGADA,IND,PRAVINBHAI MEGHJIBHAI DENGDA,IND,0.9842,0.9825,1.0,P1,high-confidence fuzzy match,manual_review
32,2009,BULDHANA,SHINGANE DR.RAJENDRA BHASKARRAO,NCP,SHINGNE DR.RAJENDRA BHASKARRAO,NCP,0.9836,0.9818,1.0,P1,high-confidence fuzzy match,manual_review
33,2009,GANDHINAGAR,KALPESHKUMAR RAJANIKANT MODI,IND,KALPESHKUMAR RAJNIKANT MODI,IND,0.9836,0.9818,1.0,P1,high-confidence fuzzy match,manual_review
34,2009,LATUR,AWCHARE VIJAYKUMAR BABRUWAN,IND,AAWCHARE VIJAYKUMAR BABRUWAN,IND,0.9836,0.9818,1.0,P1,high-confidence fuzzy match,manual_review
35,2009,NAGPUR,BARAPATRE CHANDRABHAN SOMAJI,IND,BARPATRE CHANDRABHAN SOMAJI,IND,0.9836,0.9818,1.0,P1,high-confidence fuzzy match,manual_review
36,2009,SANGLI,SIDDHESHWAR SHIVAPPA BHOSALE,IND,SIDDESHWAR SHIVAPPA BHOSALE,IND,0.9836,0.9818,1.0,P1,high-confidence fuzzy match,manual_review
37,2009,TUMKUR,SRI GOWRISHANKARA SWAMIGALU,SP,Sri. Gowri Shankara Swamigalu,SP,0.9836,0.9818,1.0,P1,high-confidence fuzzy match,manual_review
38,2009,AMRELI,RAMESHBHAI JASHABHAI PARMAR,IND,RAMESHBHAI JASABHAI PARMAR,IND,0.983,0.9811,1.0,P1,high-confidence fuzzy match,manual_review
39,2009,BULDHANA,DHOKNE RAVINDRA TULSHIRAMJI,BBM,DHOKNE RAVINDRA TULSHRAMJI,BBM,0.983,0.9811,1.0,P1,high-confidence fuzzy match,manual_review
40,2009,KANNUR,JOHNSON ALIAS SUNNY AMBATT,IND,Johnson Alias Sunny Ambattu,IND,0.983,0.9811,1.0,P1,high-confidence fuzzy match,manual_review
