iteration,female_coef,female_se,female_p,winnable_gap,calibration_slope,calibration_intercept,calibration_r2,n_matched,match_rate_overall,match_rate_female,match_rate_male
0,0.2234788719269823,0.40239836924957667,0.5786434951501842,-3.1617944559559437,0.8120949884318343,0.4595377441181801,0.6236861923821346,8072,0.6811814345991561,0.6945551128818062,0.6802739479138505
1,0.44777126883026264,0.4499295358343801,0.3196374943999798,5.323250222802418,0.7545813757651594,0.6215131479928827,0.5857361889232975,7517,0.6459013576215845,0.630173564753004,0.6469831940490404
2,0.8504496369092089,0.45966286230529535,0.06429055632021391,-1.0010877999605263,0.7398733473562948,0.6024939191958006,0.5958508662793023,7722,0.6417352281226627,0.6542185338865837,0.6409372236958444
3,-0.18605003023642938,0.4035631662728748,0.644785430703048,7.389981693051139,0.7986184787499665,0.41925128134513046,0.6128652992366259,7597,0.6336641921761614,0.6593548387096774,0.631888710540396
4,0.029200710208062718,0.4353687495665806,0.9465250108405664,6.4826776675949365,0.7474972082908452,0.5763117387140164,0.601625054149838,7741,0.656517682978543,0.6402597402597403,0.6576535704564014
5,0.10347338773111207,0.45716605736486915,0.8209396738822603,-4.056184477040418,0.7640604064373195,0.5137471593591205,0.6023575568674211,7530,0.6278662553156008,0.6375488917861799,0.6272047033671834
6,0.02186506489663999,0.40306992801602803,0.9567389078738582,1.7217646080985034,0.7932733107846632,0.4278677435011611,0.6228831289673338,8054,0.6716144096064043,0.717032967032967,0.6686789772727273
7,-0.8585220792757481,0.3691564780350721,0.020038196590451942,-3.3910365053238394,0.7946541337291916,0.5021581401238115,0.6197668754688719,7589,0.6543933775976546,0.6303797468354431,0.6561487924493384
8,-1.6490302534129047,0.42383286845779616,9.993240547985883e-05,-2.736591932594525,0.7910210577137864,0.5023682525794075,0.6021285631046781,7706,0.6446917091943445,0.6808769792935444,0.6420229967660798
9,-1.2499457502554958,0.448076155879906,0.005277592229108025,-4.837017189024609,0.7954088025905255,0.45521230044312294,0.6118123190072037,7898,0.6572355829241907,0.6865853658536586,0.6550861837992319
10,-0.2880346310367652,0.38070529440664913,0.44930055216159037,0.6574156364406321,0.7872829474198537,0.4439364378609467,0.6148715497053336,7830,0.6640658129081503,0.6580246913580247,0.6645114288316183
11,-0.2713036118420206,0.48009939439787164,0.572006536079559,-6.572164856855066,0.7783290054384491,0.5064496102878766,0.6096203322876302,7573,0.6440173484139807,0.6490322580645161,0.6436635105608157
12,-0.3645914950563989,0.47922035119056644,0.44677572181764846,-8.341290136948203,0.7943955152378036,0.48423150963678907,0.6201979207612243,7696,0.6475389145982331,0.6705128205128205,0.6459252588923908
13,-0.2847899798141771,0.4049687857465872,0.48190660930115137,0.8337433597131998,0.8066454324370348,0.43717093038735233,0.6235304531349053,7683,0.6366951189193669,0.6528150134048257,0.6356328946206166
14,0.1709932525394355,0.4203642548008193,0.6841739789166801,10.108092073797298,0.7531769578219104,0.5843541078519812,0.5900085956898516,7861,0.6538301588621808,0.6417721518987342,0.6546781803614351
15,0.15801415363221405,0.4488620845510814,0.7248137022284091,-5.321560481422667,0.749591186767688,0.6007228780216382,0.5804036327592135,7634,0.6425925925925926,0.6442048517520216,0.6424851858502424
16,0.030773448552043798,0.42667259101473126,0.9425030129795091,-3.2683744056400084,0.795797016425491,0.4425783720824915,0.6090661079106905,8001,0.6549070966685766,0.6328502415458938,0.656510668188603
17,-0.4710430202948188,0.4645045768218707,0.31054640987706983,-10.448951854448525,0.7933685390195127,0.5598138360411407,0.5950422454219536,7743,0.6355577443979316,0.6390977443609023,0.6353096179183135
18,-0.07194798206128057,0.46389340328487094,0.8767456852145205,-7.053122893583861,0.7329421448639208,0.6969767221409666,0.583700205456777,7915,0.6559211071517361,0.6742424242424242,0.6546341463414634
19,-0.38096512282978434,0.45534966720791326,0.40279325380977415,-7.150489786657831,0.7921930905391094,0.5002751631536803,0.6290103724426672,7535,0.6443475286471695,0.6294277929155313,0.6453467153284671
20,-0.023872642049442904,0.4329866967763061,0.956031058807252,2.968337524631144,0.749096786954339,0.6063853226885373,0.5892450021443237,7878,0.6641935755838462,0.6639455782312925,0.6642099586554018
21,-0.06393395771583667,0.4774907377984581,0.8934850486921706,-6.9695614978075255,0.7586915684626514,0.5756958669366903,0.5926862416655745,7759,0.6524005717649037,0.6632653061224489,0.6516338104239806
22,-0.9147891987175568,0.42900229333570467,0.032976905276946446,0.4192121346331348,0.7756704546950057,0.48815745853967824,0.6070861119838915,7762,0.6405876041924569,0.6675031367628608,0.6386925795053003
23,-0.7925399339098915,0.44318663837545597,0.0737315245268502,-0.9392501852390254,0.7602193494572586,0.5772201014331264,0.5988589005419729,7446,0.624193142761338,0.6364764267990074,0.62330306571968
24,-0.5195598080465571,0.4264184282149331,0.22306167709087898,-2.3897853548938848,0.782267636325462,0.5541401086883713,0.6060322949862219,7703,0.6453585790884718,0.6549707602339181,0.6446169118310622
25,-0.779562126609277,0.4632336447208412,0.09240020891688767,-0.04970421407617209,0.7817592349923457,0.6193007853382411,0.585863776179792,7676,0.657416923603974,0.6910039113428944,0.65505545879549
26,-0.10878291245236255,0.4453908405852836,0.8070438130248264,-1.5659381534087942,0.7547151184164177,0.639942529043347,0.5984265917303616,7853,0.669308787181454,0.6671052631578948,0.6694614052674747
27,0.14719523523980096,0.4179001440163648,0.7246688888615365,5.805619236753888,0.7782045160084037,0.5169587572836393,0.6015814367100659,7646,0.6411740041928721,0.6605504587155964,0.6398494893388281
28,-0.2586650269228001,0.35602725763944315,0.467512987891303,1.127867892298255,0.7865985096631836,0.5072021550370494,0.6253961580089136,8140,0.6768105096865387,0.6829573934837093,0.6763736753050138
29,-0.5117918472336973,0.44723784295993135,0.25248294432148755,0.3824306509978648,0.7638823914690436,0.5495019798913905,0.6060282889380748,7672,0.6408286000668226,0.6604477611940298,0.6394161891117478
30,-0.6852174685008334,0.41256179197624737,0.09673665415556058,-3.71423831642989,0.8134077742095284,0.38030150354319353,0.6286261561861788,7755,0.6331645983017635,0.6641025641025641,0.6310603418207186
31,-1.400716345997031,0.45111051350003417,0.0019025306982678838,0.03667141386817008,0.7087092792760533,0.8038259075719945,0.5569946738985325,7679,0.6324849682892678,0.6410256410256411,0.631867161278926
32,-0.27156350135044216,0.44086967199256927,0.5379128086263987,3.744041214284753,0.7598484860533673,0.526265403759072,0.6045238507192596,7626,0.6549295774647887,0.648936170212766,0.6553433712816746
33,0.46111560986235983,0.42723975846074574,0.28045845794376467,23.935167271063122,0.7401016582127161,0.6570571288224167,0.5846263465104177,7692,0.6504862579281184,0.6547619047619048,0.6501942361550276
