spec_id,controls,vote_share_min,year_filter,party_filter,seat_filter,winnable_threshold,n,n_female,female_coef,female_se,female_p,ci_lower,ci_upper,r2
1068,controls+winnable,0.25,2009,national,reserved,40,311,23,-2.2641394796591827,2.3140120734016265,0.32785301272755785,-6.799519803317227,2.2712408439988616,0.16744218234742392
1500,full+winnable,0.25,2009,national,reserved,40,311,23,-2.2641394796591774,2.314012073401624,0.3278530127275584,-6.799519803317216,2.2712408439988616,0.16744218234742392
960,controls+winnable,0.0,2009,national,reserved,40,312,23,-2.258525742385233,2.3130923558509,0.32886149170966206,-6.792103452767903,2.2750519679974373,0.1674822005710902
1392,full+winnable,0.0,2009,national,reserved,40,312,23,-2.2585257423852267,2.313092355850899,0.32886149170966317,-6.792103452767895,2.2750519679974417,0.16748220057108987
1608,full+winnable,0.5,2009,national,reserved,40,305,23,-2.215172035265927,2.3263483544291734,0.34099051910210654,-6.7747310254411275,2.3443869549092735,0.16911857640685235
1176,controls+winnable,0.5,2009,national,reserved,40,305,23,-2.215172035265919,2.326348354429172,0.340990519102108,-6.774731025441117,2.344386954909279,0.16911857640685213
636,year+winnable,0.25,2009,national,reserved,40,311,23,-2.2098712964947804,1.5985707863410604e-11,0.0,-2.209871296526112,-2.209871296463449,0.14696702405161988
528,year+winnable,0.0,2009,national,reserved,40,312,23,-2.1900025329750177,6.124256107676967e-11,0.0,-2.190002533095051,-2.1900025328549844,0.14715650582550865
744,year+winnable,0.5,2009,national,reserved,40,305,23,-2.1850924293548615,2.30297907582564,0.34271662488642907,-6.698848475122455,2.3286636164127317,0.15004816118063946
312,none+winnable,0.5,2009,national,reserved,40,305,23,-2.185092429354852,2.302979075825641,0.3427166248864314,-6.698848475122447,2.3286636164127428,0.15004816118063946
204,none+winnable,0.25,2009,national,reserved,40,311,23,-2.1642930655727075,2.298136527126133,0.34631552637276264,-6.668557890295885,2.3399717591504703,0.15034489249031302
96,none+winnable,0.0,2009,national,reserved,40,312,23,-2.1617620305695167,2.2973652799394424,0.3467179527398214,-6.664515238583602,2.3409911774445695,0.15041862296252873
389,none+winnable,1.0,2004,regional,general,20,614,47,-2.1209057804792595,1.150409992149511,0.06524019856653698,-4.375667932547307,0.13385637158878838,0.010375446364298213
821,year+winnable,1.0,2004,regional,general,20,614,47,-2.1209057804792586,1.1504099921495106,0.06524019856653698,-4.375667932547305,0.13385637158878838,0.010375446364298435
390,none+winnable,1.0,2004,regional,general,30,614,47,-2.110019565894948,1.1560366012692829,0.06796804035998835,-4.375809669192833,0.15577053740293723,0.010828275836517687
822,year+winnable,1.0,2004,regional,general,30,614,47,-2.110019565894947,1.1560366012692835,0.06796804035998864,-4.375809669192834,0.15577053740293945,0.010828275836517687
823,year+winnable,1.0,2004,regional,general,35,614,47,-2.1014220547573976,1.1406104220412172,0.06542160676105392,-4.3369774023492145,0.13413329283441922,0.011154787092727214
391,none+winnable,1.0,2004,regional,general,35,614,47,-2.1014220547573954,1.1406104220412163,0.065421606761054,-4.336977402349211,0.13413329283441966,0.011154787092727214
392,none+winnable,1.0,2004,regional,general,40,614,47,-2.0857211470516552,1.140612783372337,0.0674599980897277,-4.321281122767422,0.1498388286641119,0.011521005799294715
824,year+winnable,1.0,2004,regional,general,40,614,47,-2.085721147051654,1.1406127833723372,0.06745999808972797,-4.321281122767422,0.1498388286641137,0.011521005799294715
1716,full+winnable,1.0,2009,national,reserved,40,272,22,-1.9810156235955632,2.4651597810146306,0.4216249241699159,-6.8126400105208855,2.8506087633297597,0.1696180018934612
1284,controls+winnable,1.0,2009,national,reserved,40,272,22,-1.981015623595554,2.465159781014627,0.42162492416991737,-6.8126400105208695,2.8506087633297614,0.1696180018934612
852,year+winnable,1.0,2009,national,reserved,40,272,22,-1.9609648286413646,2.4107469981747665,0.4159737289007799,-6.685942120901954,2.7640124636192254,0.1475270442907779
420,none+winnable,1.0,2009,national,reserved,40,272,22,-1.9609648286413557,2.4107469981747642,0.41597372890078166,-6.685942120901942,2.76401246361923,0.1475270442907779
819,year+winnable,1.0,2004,regional,all,35,923,72,-1.8689349476345076,0.8280219172619974,0.024001323048879246,-3.491828083877827,-0.24604181139118841,0.010625764599580978
387,none+winnable,1.0,2004,regional,all,35,923,72,-1.8689349476345072,0.8280219172619971,0.024001323048879246,-3.4918280838778264,-0.2460418113911882,0.010625764599580978
1687,full+winnable,1.0,2004,regional,general,35,614,47,-1.854760955827156,1.1567773924351066,0.10884940665204969,-4.1220029831301215,0.41248107147580915,0.029031132081162148
1255,controls+winnable,1.0,2004,regional,general,35,614,47,-1.8547609558271543,1.1567773924351068,0.10884940665205008,-4.12200298313012,0.41248107147581137,0.029031132081162148
388,none+winnable,1.0,2004,regional,all,40,923,72,-1.8535793894588,0.8279622444054824,0.025173845204676637,-3.476355569052495,-0.23080320986510472,0.010723220795001986
820,year+winnable,1.0,2004,regional,all,40,923,72,-1.8535793894587997,0.8279622444054822,0.025173845204676623,-3.4763555690524948,-0.23080320986510494,0.010723220795001986
817,year+winnable,1.0,2004,regional,all,20,923,72,-1.847586632513102,0.8298347494724184,0.02598396951491164,-3.474032854598861,-0.22114041042734334,0.012154617605827589
385,none+winnable,1.0,2004,regional,all,20,923,72,-1.8475866325131007,0.8298347494724186,0.025983969514911807,-3.47403285459886,-0.22114041042734156,0.012154617605827589
1253,controls+winnable,1.0,2004,regional,general,20,614,47,-1.8408020820635123,1.1713580464713853,0.11606399599125794,-4.136621666148622,0.4550175020215981,0.034775955398760994
1685,full+winnable,1.0,2004,regional,general,20,614,47,-1.840802082063511,1.1713580464713855,0.1160639959912583,-4.1366216661486215,0.45501750202159985,0.034775955398760994
1688,full+winnable,1.0,2004,regional,general,40,614,47,-1.8329016998605268,1.157037363153043,0.11316333212923928,-4.100653260407682,0.4348498606866291,0.02936992710226094
1256,controls+winnable,1.0,2004,regional,general,40,614,47,-1.8329016998605265,1.1570373631530442,0.1131633321292396,-4.100653260407684,0.43484986068663156,0.02936992710226094
386,none+winnable,1.0,2004,regional,all,30,923,72,-1.8229151302730027,0.8336191266336772,0.028760910332907064,-3.4567785952987444,-0.1890516652472607,0.012424740470429407
818,year+winnable,1.0,2004,regional,all,30,923,72,-1.8229151302730013,0.8336191266336767,0.028760910332907064,-3.456778595298742,-0.18905166524726047,0.012424740470429518
1254,controls+winnable,1.0,2004,regional,general,30,614,47,-1.8148417292335928,1.1791089097693481,0.12376431702331993,-4.125852726231804,0.4961692677646179,0.03426432886509434
1686,full+winnable,1.0,2004,regional,general,30,614,47,-1.8148417292335923,1.1791089097693475,0.12376431702331983,-4.125852726231802,0.496169267764617,0.03426432886509434
1251,controls+winnable,1.0,2004,regional,all,35,923,72,-1.697138766219424,0.8361594162109824,0.04238874599533442,-3.3359811073269867,-0.058296425111861394,0.02419889636650474
1683,full+winnable,1.0,2004,regional,all,35,923,72,-1.6971387662194237,0.8361594162109829,0.042388745995334556,-3.335981107326987,-0.058296425111860284,0.02419889636650474
1684,full+winnable,1.0,2004,regional,all,40,923,72,-1.6777308345014705,0.8361845219692403,0.04481228670293788,-3.3166223819910234,-0.038839287011917856,0.0241738063722875
1252,controls+winnable,1.0,2004,regional,all,40,923,72,-1.6777308345014688,0.8361845219692409,0.044812286702938256,-3.3166223819910226,-0.03883928701191497,0.0241738063722875
1681,full+winnable,1.0,2004,regional,all,20,923,72,-1.6051218499108237,0.8377347443598943,0.055361740969088594,-3.247051777454086,0.03680807763243821,0.032574263082363
1249,controls+winnable,1.0,2004,regional,all,20,923,72,-1.6051218499108204,0.8377347443598929,0.05536174096908869,-3.2470517774540797,0.036808077632438874,0.03257426308236311
1682,full+winnable,1.0,2004,regional,all,30,923,72,-1.5682022565257463,0.8430946385571458,0.06287776864159979,-3.2206373836565665,0.0842328706050739,0.031673952833403574
1250,controls+winnable,1.0,2004,regional,all,30,923,72,-1.5682022565257456,0.8430946385571456,0.06287776864159983,-3.220637383656565,0.08423287060507412,0.031673952833403574
