Year,n,female_share,baseline_available,baseline_mean
1962,1982,0.03733602421796166,0.0,
1963,2,0.0,0.0,
1964,5,0.2,0.0,
1965,4,0.0,0.0,
1967,2369,0.0299704516673702,0.0,
1968,8,0.0,0.0,
1969,10,0.0,0.0,
1970,12,0.0,0.0,
1971,2784,0.0326867816091954,0.0,
1972,9,0.0,0.0,
1977,2437,0.030365203118588428,0.0,
1978,10,0.2,0.0,
1979,4,0.0,0.0,
1980,4635,0.03193096008629989,0.0,
1981,4,0.25,0.0,
1982,7,0.14285714285714285,0.0,
1984,5312,0.030873493975903613,0.0,
1985,191,0.06282722513089005,0.0,
1986,1,0.0,0.0,
1987,8,0.25,0.0,
1988,6,0.16666666666666666,0.0,
1989,6158,0.032965248457291325,0.0,
1991,8674,0.03850587964030436,0.0,
1992,81,0.04938271604938271,0.0,
1993,5,0.0,0.0,
1994,4,0.25,0.0,
1996,13968,0.043599656357388314,0.0,
1997,56,0.017857142857142856,0.0,
1998,4767,0.05852737570799245,0.0,
1999,4648,0.06239242685025818,0.0,
2000,35,0.14285714285714285,0.0,
2001,46,0.021739130434782608,0.0,
2002,117,0.042735042735042736,0.0,
2003,25,0.04,0.0,
2004,5446,0.06591994124127801,1.0,11.819294885604622
2005,58,0.05172413793103448,0.0,
2006,109,0.07339449541284404,0.0,
2007,182,0.04945054945054945,0.0,
2008,112,0.05357142857142857,0.0,
2009,8086,0.0693791738807816,1.0,9.461153069304833
2011,12,0.08333333333333333,0.0,
2012,12,0.08333333333333333,0.0,
2013,37,0.08108108108108109,0.0,
2014,8251,0.08144467337292449,1.0,8.988564433240317
2015,9,0.1111111111111111,0.0,
2016,15,0.0,0.0,
2017,7,0.0,0.0,
2018,22,0.0,0.0,
2019,8048,0.09020874751491054,1.0,7.484753933147649
