test_years,test_year,model,female_coef,female_se,female_p,ci_lower,ci_upper,r2,n,n_female,winnable_female_capability,winnable_male_capability,winnable_gap
<= 2004,2004,baseline_formula,0.123168818632846,9.147103108366586e-10,0.0,0.12316881684004673,0.12316882042564527,0.10666736169016111,5446,359,-4.753816878477169,-4.84113963320278,0.08732275472561124
<= 2004,2004,linear_fe_ridge,1.2900811628822804,1.021228453463659e-09,0.0,1.2900811608807095,1.2900811648838513,0.16585543769139344,5446,359,6.943302732049092,3.6493579407884598,3.293944791260632
<= 2004,2004,random_forest,0.8945882557992297,8.692226635207451e-10,0.0,0.8945882540955846,0.8945882575028749,0.04817163520491019,5446,359,7.586363836381038,6.945198258256605,0.6411655781244328
<= 2004,2004,hist_gbdt,0.9303557028023095,8.788793109855407e-10,0.0,0.9303557010797378,0.9303557045248813,0.039186279467134266,5446,359,7.150319725895533,6.2354480464342625,0.9148716794612701
<= 2009,2009,baseline_formula,-0.30674434013442636,5.710736746631173e-09,0.0,-0.3067443513272647,-0.30674432894158804,0.11652683797621122,8086,561,-10.054409725294642,-9.878837302649307,-0.17557242264533457
<= 2009,2009,linear_fe_ridge,0.5532346812382989,5.701529691056618e-09,0.0,0.553234670063506,0.5532346924130918,0.09848145681525888,8086,561,3.9979663549755187,2.433814989218691,1.5641513657568278
<= 2009,2009,random_forest,0.5234057432067689,4.760005438432858e-09,0.0,0.5234057338773297,0.5234057525362081,0.02423882088315088,8086,561,4.007904583322977,3.2681297169264822,0.7397748663964951
<= 2009,2009,hist_gbdt,0.5815876981099166,4.8801850325664985e-09,0.0,0.5815876885449297,0.5815877076749035,0.010633492132496425,8086,561,3.477440592745535,2.346804283427637,1.130636309317898
<= 2014,2014,baseline_formula,-0.20709323274003671,1.0311327122885974e-11,0.0,-0.20709323276024655,-0.20709323271982688,0.11257054038849323,8251,672,-11.881406777609547,-11.242147099728447,-0.6392596778810997
<= 2014,2014,linear_fe_ridge,1.0473701183119946,9.467024009432979e-12,0.0,1.0473701182934396,1.0473701183305495,0.054224085384099285,8251,672,1.6765661184523863,-0.09820117211350116,1.7747672905658876
<= 2014,2014,random_forest,0.7607385053069939,7.711505243347983e-12,0.0,0.7607385052918797,0.7607385053221082,0.06124680379640435,8251,672,-1.296233394312566,-1.7340902865584034,0.43785689224583746
<= 2014,2014,hist_gbdt,0.6237883031501327,7.567931886037422e-12,0.0,0.6237883031352998,0.6237883031649656,0.0806198346967767,8251,672,-5.6667926848692085,-5.973429031935653,0.30663634706644416
<= 2019,2019,baseline_formula,0.2890108029632378,1.729636106483402e-10,0.0,0.28901080262423534,0.2890108033022402,0.12304165830905733,8048,726,-0.7235657285421518,-0.016719939439869488,-0.7068457891022824
<= 2019,2019,linear_fe_ridge,1.0158184648467543,2.1083035336636075e-10,0.0,1.0158184644335344,1.0158184652599742,0.05681098439156296,8048,726,16.993605048887325,13.244439713064917,3.7491653358224077
<= 2019,2019,random_forest,0.5429418723428551,1.7430862746891138e-10,0.0,0.5429418720012165,0.5429418726844937,0.09405309107243298,8048,726,12.06321763512077,10.284289652793557,1.7789279823272128
<= 2019,2019,hist_gbdt,0.3060816437151862,1.796910227613295e-10,0.0,0.30608164336299826,0.30608164406737415,0.10663110331754821,8048,726,4.4435255896470585,3.121014434018699,1.3225111556283595
