,0
n_total,141562
n_female,5997
female_pct,4.2
states,"['West_Bengal', 'Bihar', 'Haryana', 'Uttar_Pradesh', 'Andhra_Pradesh']"
years,"[1962, 1963, 1964, 1967, 1968, 1969, 1970, 1971, 1972, 1974, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2019, 2020, 2021, 2022]"
candidate_share,4.2
winnable_female,19.3
winnable_male,13.6
capability_gap_winnable,1.6717
win_rate_female,15.3
win_rate_male,10.2
overall_female_coef,-0.4989
overall_female_se,0.169
overall_female_p,0.0032
